,en,nl
0,countryman,plattelandsman 
1,fraternal,broederlijk
2,wizards,tovenaars
3,manservant,knecht
4,fathers,vaders
5,divo,zangers
6,actor,acteur
7,bachelor,vrijgezel
8,papa,papa
9,dukes,hertogen
10,barman,barman
11,countrymen,landman
12,brideprice,bruidsprijs
13,hosts,gastheren
14,potential_suitors,aanbidder
15,airmen,piloot
16,andropause,andropauze
17,penis,penis
18,prince,prins
19,governors,gouverneurs
20,abbot,abt
21,men,mannen
22,widower,weduwnaar
23,gentlemen,heren
24,sorcerers,tovenaars
25,sir,meneer
26,bridegrooms,bruidegommen
27,baron,baron
28,househusbands,huismannen
29,gods,goden
30,nephew,neef
31,widowers,weduwnaars
32,lord,heer
33,brother,broer
34,grooms,bruidegoms
35,priest,priester
36,andrology,andrologie
37,bellboys,loopjongens
38,his,zijn
39,marquis,markies
40,princes,prinsen
41,emperors,keizers
42,stallion,hengst
43,chairman,voorzitter
44,monastery,klooster
45,priests,priesters
46,boyhood,jongensjaren
47,fellas,gasten
48,king,koning
49,dudes,kerels
50,daddies,papa's
51,manservant,knecht
52,semen,sperma
53,spokesman,woordvoerder
54,tailor,kleermaker
55,cowboys,cowboys
56,dude,gozer
57,bachelors,vrijgezellen
58,barbershop,barbier
59,emperor,keizer
60,daddy,papa
61,masculism,mannelijkheid
62,guys,jongens
63,enchanter,tovenaar
64,guy,vent
65,fatherhood,vaderschap
66,androgen,androgeen
67,cameramen,cameramannen
68,godfather,peetvader
69,strongman,krachtpatser
70,god,god
71,patriarch,patriarch
72,uncle,oom
73,chairmen,voorzitters
74,sir,meneer
75,brotherhood,broederschap
76,host,gastheer
77,testosterone,testosteron
78,husband,man
79,dad,vader
80,steward,steward
81,males,mannen
82,spokesmen,woordvoerders
83,pa,pa
84,stud,knapperd
85,bachelor,vrijgezel
86,wizard,tovenaar
87,sir,meneer
88,nephews,neven
89,fathered,vader
90,bull,stier
91,councilmen,raadsleden
92,grandson,kleinzoon
93,stepfathers,stiefvaders
94,grandfathers,grootvaders
95,schoolboy,schooljongen
96,rooster,haan
97,grandsons,kleinzonen
98,bachelor,vrijgezel
99,cameraman,cameraman
100,dads,vaders
101,him,hem
102,master,meester
103,lad,jongen
104,policeman,politieagent
105,monk,monnik
106,actors,acteurs
107,salesmen,verkopers
108,boyfriend,vriendje
109,councilman,raadslid
110,fella,kerel
111,statesman,staatsman
112,paternal,vaderlijk
113,chap,kerel
114,landlord,landheer
115,brethren,broeders
116,lords,heren
117,blokes,jongens
118,fraternity,broederschap
119,bellboy,loopjongen
120,duke,hertog
121,ballet_dancer,balletdanser
122,dudes,kerels
123,colts,veulens
124,husbands,echtgenoten
125,suitor,aanbidder
126,maternity,moederschap
127,he,hij
128,businessman,zakenman
129,masseurs,masseurs
130,hero,held
131,deer,herten
132,busboys,afwasser
133,boyfriends,vriendjes
134,kings,koningen
135,brothers,broers
136,masters,meesters
137,stepfather,stiefvader
138,brides,bruiden
139,son,zoon
140,studs,kanjer
141,cowboy,cowboy
142,mentleman,mentleman
143,sons,zonen
144,baritone,bariton
145,salesman,verkoper
146,paramour,minnaar
147,male_host,gastheer
148,monks,monniken
149,menservants,bedienden
150,mr.,Dhr.
151,headmasters,schoolhoofden
152,lads,jongens
153,congressman,congreslid
154,airman,vliegenier
155,househusband,Huisman
156,priest,priester
157,barmen,barmannen
158,barons,baronnen
159,abbots,abten
160,handyman,klusjesman
161,beard,baard
162,fraternities,broederschappen
163,stewards,stewards
164,colt,veulen
165,czar,tsaar
166,stepsons,stiefzonen
167,himself,hemzelf
168,boys,jongens
169,lions,leeuwen
170,gentleman,heer
171,penis,penis
172,his,zijn
173,masseur,masseur
174,bulls,stieren
175,uncles,ooms
176,bloke,kerel
177,beards,baarden
178,hubby,manlief
179,lion,leeuw
180,sorcerer,tovenaar
181,macho,macho
182,father,vader
183,gays,homo's
184,male,mannetje
185,waiters,obers
186,sperm,sperma
187,stepson,stiefzoon
188,businessmen,zakenlieden
189,heir,erfgenaam
190,waiter,ober
191,headmaster,schoolhoofd
192,man,man
193,governor,gouverneur
194,god,god
195,bridegroom,bruidegom
196,grandpa,opa
197,groom,bruidegom
198,dude,gozer
199,gay,homo
200,gents,heren
201,boy,jongen
202,grandfather,grootvader
203,gelding,ruin
204,paternity,vaderschap
205,roosters,hanen
206,priests,priesters
207,manservants,bedienden
208,stailor,kleermaker
209,busboy,afwasser
210,heros,helden
