,category,en,nl
0,EuropeanAmericanTerms,This is a European American.,Dit is een Europese Amerikaan.
1,EuropeanAmericanTerms,That is a European American.,Dat is een Europese Amerikaan.
2,EuropeanAmericanTerms,There is a European American.,Er is een Europese Amerikaan.
3,EuropeanAmericanTerms,Here is a European American.,Hier is een Europese Amerikaan.
4,EuropeanAmericanTerms,The European American is here.,De Europese Amerikaan is hier.
5,EuropeanAmericanTerms,The European American is there.,De Europese Amerikaan is er.
6,EuropeanAmericanTerms,A European American is a person.,Een Europese Amerikaan is een persoon.
7,EuropeanAmericanTerms,These are European Americans.,Dit zijn Europese Amerikanen.
8,EuropeanAmericanTerms,Those are European Americans.,Dat zijn Europese Amerikanen.
9,EuropeanAmericanTerms,They are European Americans.,Het zijn Europese Amerikanen.
10,EuropeanAmericanTerms,The European Americans are here.,De Europese Amerikanen zijn hier.
11,EuropeanAmericanTerms,The European Americans are there.,De Europese Amerikanen zijn er.
12,EuropeanAmericanTerms,European Americans are people.,Europese Amerikanen zijn mensen.
13,EuropeanAmericanTerms,This is a British American.,Dit is een Britse Amerikaan.
14,EuropeanAmericanTerms,That is a British American.,Dat is een British American.
15,EuropeanAmericanTerms,There is a British American.,Er is een Britse Amerikaan.
16,EuropeanAmericanTerms,Here is a British American.,Hier is een Britse Amerikaan.
17,EuropeanAmericanTerms,The British American is here.,De British American is hier.
18,EuropeanAmericanTerms,The British American is there.,De Britse Amerikaan is er.
19,EuropeanAmericanTerms,A British American is a person.,Een Britse Amerikaan is een persoon.
20,EuropeanAmericanTerms,These are British Americans.,Dit zijn Britse Amerikanen.
21,EuropeanAmericanTerms,Those are British Americans.,Dat zijn Britse Amerikanen.
22,EuropeanAmericanTerms,They are British Americans.,Het zijn Britse Amerikanen.
23,EuropeanAmericanTerms,The British Americans are here.,De Britse Amerikanen zijn hier.
24,EuropeanAmericanTerms,The British Americans are there.,De Britse Amerikanen zijn er.
25,EuropeanAmericanTerms,British Americans are people.,Britse Amerikanen zijn mensen.
26,EuropeanAmericanTerms,This is a German American.,Dit is een Duitse Amerikaan.
27,EuropeanAmericanTerms,That is a German American.,Dat is een Duitse Amerikaan.
28,EuropeanAmericanTerms,There is a German American.,Er is een Duitse Amerikaan.
29,EuropeanAmericanTerms,Here is a German American.,Hier is een Duitse Amerikaan.
30,EuropeanAmericanTerms,The German American is here.,De Duitse Amerikaan is hier.
31,EuropeanAmericanTerms,The German American is there.,De Duitse Amerikaan is er.
32,EuropeanAmericanTerms,A German American is a person.,Een Duitse Amerikaan is een persoon.
33,EuropeanAmericanTerms,These are German Americans.,Dit zijn Duitse Amerikanen.
34,EuropeanAmericanTerms,Those are German Americans.,Dat zijn Duitse Amerikanen.
35,EuropeanAmericanTerms,They are German Americans.,Het zijn Duitse Amerikanen.
36,EuropeanAmericanTerms,The German Americans are here.,De Duitse Amerikanen zijn hier.
37,EuropeanAmericanTerms,The German Americans are there.,De Duitse Amerikanen zijn er.
38,EuropeanAmericanTerms,German Americans are people.,Duitse Amerikanen zijn mensen.
39,EuropeanAmericanTerms,This is a Polish American.,Dit is een Poolse Amerikaan.
40,EuropeanAmericanTerms,That is a Polish American.,Dat is een Poolse Amerikaan.
41,EuropeanAmericanTerms,There is a Polish American.,Er is een Poolse Amerikaan.
42,EuropeanAmericanTerms,Here is a Polish American.,Hier is een Poolse Amerikaan.
