,en,nl
0,countryman,landgenoot
1,fraternal,broederlijk
2,wizards,tovenaars
3,manservant,knecht
4,fathers,vaders
5,divo,divo
6,actor,acteur
7,bachelor,bachelor opleiding
8,papa,papa
9,dukes,hertogen
10,barman,barman
11,countrymen,landgenoten
12,brideprice,bruid prijs
13,hosts,gastheren
14,potential_suitors,potentiële_uitgevers
15,airmen,vliegers
16,andropause,andropauze
17,penis,penis
18,prince,prins
19,governors,gouverneurs
20,abbot,abt
21,men,mannen
22,widower,weduwnaar
23,gentlemen,mijne heren
24,sorcerers,tovenaars
25,sir,meneer
26,bridegrooms,bruidegom
27,baron,baron
28,househusbands,huismannen
29,gods,goden
30,nephew,neef
31,widowers,weduwnaars
32,lord,heer
33,brother,broer
34,grooms,bruidegoms
35,priest,priester
36,adultors,volwassenen
37,andrology,andrologie
38,bellboys,loopjongens
39,his,zijn
40,marquis,markies
41,princes,prinsen
42,emperors,keizers
43,stallion,hengst
44,chairman,Voorzitter
45,monastery,klooster
46,priests,priesters
47,boyhood,jongens
48,fellas,jongens
49,king,koning
50,dudes,kerels
51,daddies,papa's
52,manservant,knecht
53,semen,sperma
54,spokesman,woordvoerder
55,tailor,kleermaker
56,cowboys,cowboys
57,dude,gozer
58,bachelors,vrijgezellen
59,barbershop,kapperszaak
60,emperor,keizer
61,daddy,papa
62,masculism,mannelijkheid
63,guys,jongens
64,enchanter,betoverer
65,guy,vent
66,fatherhood,vaderschap
67,androgen,androgeen
68,cameramen,cameramensen
69,godfather,peetvader
70,strongman,sterke man
71,god,god
72,patriarch,patriarch
73,uncle,oom
74,chairmen,voorzitters
75,sir,meneer
76,brotherhood,broederschap
77,host,gastheer
78,testosterone,testosteron
79,husband,man
80,dad,vader
81,steward,rentmeester
82,males,mannen
83,cialis,cialis
84,spokesmen,woordvoerders
85,pa,vader
86,beau,beau
87,stud,dekhengst
88,bachelor,bachelor opleiding
89,wizard,tovenaar
90,sir,meneer
91,nephews,neven
92,fathered,vader
93,bull,stier
94,beaus,beaus
95,councilmen,raadsleden
96,landladies,hospita 's
97,grandson,kleinzoon
98,fiances,verloofden
99,stepfathers,stiefvaders
100,horsewomen,paardenvrouwen
101,grandfathers,grootvaders
102,adultor,volwassene of
103,schoolboy,schooljongen
104,rooster,haan
105,grandsons,kleinzonen
106,bachelor,bachelor opleiding
107,cameraman,cameraman
108,dads,vaders
109,him,hem
110,master,meester
111,lad,jongen
112,policeman,politieagent
113,monk,monnik
114,actors,acteurs
115,salesmen,verkopers
116,boyfriend,vriendje
117,councilman,raadslid
118,fella,kerel
119,statesman,staatsman
120,paternal,vaderlijk
121,chap,kerel
122,landlord,landheer
123,brethren,broeders
124,lords,heren
125,blokes,jongens
126,fraternity,broederschap
127,bellboy,loopjongen
128,duke,hertog
129,ballet_dancer,balletdanser
130,dudes,kerels
131,fiance,verloofde
132,colts,veulens
133,husbands,echtgenoten
134,suitor,aanbidder
135,maternity,moederschap
136,he,hij
137,businessman,zakenman
138,masseurs,masseurs
139,hero,held
140,deer,herten
141,busboys,Busboys
142,boyfriends,vriendjes
143,kings,koningen
144,brothers,broers
145,masters,meesters
146,stepfather,stiefvader
147,brides,bruiden
148,son,zoon
149,studs,hengsten
150,cowboy,cowboy
151,mentleman,mentleman
152,sons,zonen
153,baritone,bariton
154,salesman,verkoper
155,paramour,minnaar
156,male_host,mannelijke_host
157,monks,monniken
158,menservants,bedienden
159,mr.,Dhr.
160,headmasters,schoolhoofden
161,lads,jongens
162,congressman,congreslid
163,airman,vlieger
164,househusband,Huisman
165,priest,priester
166,barmen,barmannen
167,barons,baronnen
168,abbots,abten
169,handyman,klusjesman
170,beard,baard
171,fraternities,broederschappen
172,stewards,stewards
173,colt,Colt
174,czar,tsaar
175,stepsons,stiefzonen
176,himself,zichzelf
177,boys,jongens
178,lions,leeuwen
179,gentleman,heer
180,penis,penis
181,his,zijn
182,masseur,masseur
183,bulls,stieren
184,uncles,ooms
185,bloke,kerel
186,beards,baarden
187,hubby,manlief
188,lion,leeuw
189,sorcerer,tovenaar
190,macho,macho
191,father,vader
192,gays,homo's
193,male,mannetje
194,waiters,obers
195,sperm,sperma
196,prostate,prostaat
197,stepson,stiefzoon
198,prostatic_utricle,prostatic_utricle
199,businessmen,zakenlieden
200,heir,erfgenaam
201,waiter,ober
202,headmaster,schoolhoofd
203,man,Mens
204,governor,gouverneur
205,god,god
206,bridegroom,bruidegom
207,grandpa,opa
208,groom,bruidegom
209,dude,gozer
210,gay,homo
211,gents,heren
212,boy,jongen
213,grandfather,grootvader
214,gelding,ruin
215,paternity,vaderschap
216,roosters,hanen
217,prostatic_utricle,prostatic_utricle
218,priests,priesters
219,manservants,bedienden
220,stailor,stailor
221,busboy,Busboy
222,heros,helden
